Small Tertiary Planning Unit Group,Name of Small Tertiary Planning Unit Group  (in English),Name of Small Tertiary Planning Unit Group (in Chinese),Total population,Population  by sex,Population  by sex,Sex ratio (i.e. the number of males per 1 000 females in the respective age group),Median age by sex,Median age by sex,Median age by sex,Labour force,Labour force by sex,Labour force by sex,Labour force participation rate(4) by sex,Labour force participation rate(4) by sex,Labour force participation rate(4) by sex,Working population,Median monthly income from main employment (HK$) (excluding unpaid family workers) by sex,Median monthly income from main employment (HK$) (excluding unpaid family workers) by sex,Median monthly income from main employment (HK$) (excluding unpaid family workers) by sex,Median monthly income from main employment (HK$) (excluding foreign domestic helpers and unpaid family workers) by sex,Median monthly income from main employment (HK$) (excluding foreign domestic helpers and unpaid family workers) by sex,Median monthly income from main employment (HK$) (excluding foreign domestic helpers and unpaid family workers) by sex
Small Tertiary Planning Unit Group,Name of Small Tertiary Planning Unit Group  (in English),Name of Small Tertiary Planning Unit Group (in Chinese),Total population,Male ,Female,Sex ratio (i.e. the number of males per 1 000 females in the respective age group),Both sexes,Male,Female,Labour force,Male,Female,Both sexes,Male,Female,Working population,Both sexes,Male,Female,Both sexes,Male,Female
111,111,111,62272,28428,33844,840,43.1,43,43.1,35997,17551,18446,64.6,70,60.2,34690,16500,20000,13500,19300,20000,17500
112,112,112,51157,23911,27246,878,44.3,44.8,44,29571,14388,15183,63.7,66.8,60.9,28693,15000,17000,12000,15500,17000,14000
113,113,113,23043,10771,12272,878,44.6,44.9,44.3,13494,7099,6395,63.6,71.3,56.8,12990,18000,22000,14000,20000,23000,17000
114,114,114,8349,4056,4293,945,46.4,42.6,48.2,5290,2671,2619,66.5,69.8,63.5,5077,20000,27500,14000,23000,27500,20000
115,115,115,1926,966,960,1006,47.2,50.2,44,1147,660,487,63.7,71.2,55.8,1111,12000,15000,10000,12000,15000,10800
116,116,116,14093,6595,7498,880,47.1,47,47.2,7646,3622,4024,58.3,60.2,56.7,7400,13000,15500,10000,14000,15500,11000
121S,121 and 123 - 124,121 及 123 - 124,1850,972,878,1107,49,47.2,50.2,1079,570,509,64.8,67.1,62.3,1048,25000,49000,10000,31000,49000,18000
122,122,122,5691,2709,2982,908,47.6,48,47.3,3581,1835,1746,69,75.2,63.5,3502,20000,32130,13000,22000,32130,20000
131,131,131,30333,14138,16195,873,43.4,44.4,42.4,19522,9699,9823,70.2,75.2,65.9,18861,15300,20500,11520,18000,21000,13800
132,132,132,17481,7987,9494,841,45.8,45.7,45.8,10289,4962,5327,65,70.4,60.6,10062,14500,20000,10800,16000,20000,13000
133,133,133,11102,5094,6008,848,41,39.5,42.2,7003,3392,3611,68.7,74.9,63.7,6634,12500,15700,11000,14000,15700,12000
134,134,134,1200,511,689,742,47.3,50,44.1,854,422,432,74.7,84.6,67.1,837,20000,38750,12250,35000,40000,16000
135,135,135,1076,533,543,982,42.8,42.3,43.9,711,374,337,70.7,76.6,65.1,689,28750,33000,20000,30000,33000,26250
140,140,140,7368,3248,4120,788,46.4,48,45.3,4701,1979,2722,71,68.3,73,4566,16800,45000,6000,35000,45000,20000
141,141,141,19650,7500,12150,617,43,44,42.6,11734,4480,7254,67.2,68.1,66.7,11507,22000,50000,7000,45000,50000,34000
142,142,142,39818,16835,22983,732,42.1,43.1,41.5,24613,10911,13702,69.7,75.2,65.8,23919,26780,55000,7100,50000,60000,39000
143,143,143,10737,4096,6641,617,44.9,45.5,44.4,6724,2597,4127,70.3,74.6,67.9,6662,10000,65000,5140,50000,80000,25000
144,144,144,34259,14367,19892,722,43.3,45.7,42.1,20868,8929,11939,69.4,72.7,67,20255,20000,50000,7000,35000,50000,27000
145,145,145,13662,5358,8304,645,45.1,49.3,43.2,8290,3302,4988,68.2,70.1,67,8046,20000,45000,7750,33000,45000,25000
146S,146 - 147,146 - 147,16645,7484,9161,817,45.7,45.7,45.6,9817,4807,5010,65.7,71.7,60.8,9363,14160,19000,9500,16000,19000,14000
148,148,148,9858,4614,5244,880,50.1,49.9,50.2,5498,2758,2740,60.4,65.6,56,5169,13000,15500,10250,13500,15500,12000
149,149,149,9564,3684,5880,627,44.3,45.6,43.3,6349,2458,3891,73.2,76.6,71.3,6218,15000,40000,5200,40000,50000,25000
151,151,151,49209,20923,28286,740,44,44.7,43.7,27733,11865,15868,63.7,65.7,62.2,26877,17600,25000,11000,22000,25000,20000
152,152,152,20168,8083,12085,669,42.1,45.3,40.8,12295,4905,7390,70.1,71.9,69,12021,20000,50000,7600,45000,50000,30000
